method,model_name,task_name,train_subset_size,num_train_epochs,seed,accuracy,learning_rate,batch_size,max_length,lora_r,lora_alpha,warmup_ratio,bf16,elapsed_seconds,total_parameters,trainable_parameters,trainable_percentage
full_ft,bert-base-uncased,mrpc,320,1,17,0.40931372549019607,2e-05,16,128,,,0.1,True,0.6,109483778,109483778,100.0
full_ft,bert-base-uncased,mrpc,320,1,23,0.3700980392156863,2e-05,16,128,,,0.1,True,0.6,109483778,109483778,100.0
full_ft,bert-base-uncased,mrpc,1280,1,11,0.6813725490196079,2e-05,16,128,,,0.1,True,1.8,109483778,109483778,100.0
full_ft,bert-base-uncased,mrpc,1280,1,17,0.6838235294117647,2e-05,16,128,,,0.1,True,1.9,109483778,109483778,100.0
full_ft,bert-base-uncased,mrpc,1280,1,23,0.6838235294117647,2e-05,16,128,,,0.1,True,1.8,109483778,109483778,100.0
full_ft,bert-base-uncased,mrpc,80,2,11,0.3161764705882353,2e-05,16,128,,,0.1,True,0.3,109483778,109483778,100.0
full_ft,bert-base-uncased,mrpc,80,2,17,0.3161764705882353,2e-05,16,128,,,0.1,True,0.3,109483778,109483778,100.0
full_ft,bert-base-uncased,mrpc,80,2,23,0.3161764705882353,2e-05,16,128,,,0.1,True,0.3,109483778,109483778,100.0
full_ft,bert-base-uncased,mrpc,320,2,11,0.6838235294117647,2e-05,16,128,,,0.1,True,1.1,109483778,109483778,100.0
full_ft,bert-base-uncased,mrpc,320,2,17,0.6813725490196079,2e-05,16,128,,,0.1,True,1.0,109483778,109483778,100.0
full_ft,bert-base-uncased,mrpc,320,2,23,0.6813725490196079,2e-05,16,128,,,0.1,True,0.9,109483778,109483778,100.0
full_ft,bert-base-uncased,mrpc,1280,2,11,0.6838235294117647,2e-05,16,128,,,0.1,True,3.6,109483778,109483778,100.0
full_ft,bert-base-uncased,mrpc,1280,2,17,0.6838235294117647,2e-05,16,128,,,0.1,True,3.5,109483778,109483778,100.0
full_ft,bert-base-uncased,mrpc,1280,2,23,0.6838235294117647,2e-05,16,128,,,0.1,True,3.3,109483778,109483778,100.0
full_ft,bert-base-uncased,mrpc,80,5,11,0.31862745098039214,2e-05,16,128,,,0.1,True,0.6,109483778,109483778,100.0
full_ft,bert-base-uncased,mrpc,80,5,17,0.3161764705882353,2e-05,16,128,,,0.1,True,0.6,109483778,109483778,100.0
full_ft,bert-base-uncased,mrpc,80,5,23,0.6593137254901961,2e-05,16,128,,,0.1,True,0.6,109483778,109483778,100.0
full_ft,bert-base-uncased,mrpc,320,5,11,0.6838235294117647,2e-05,16,128,,,0.1,True,2.6,109483778,109483778,100.0
full_ft,bert-base-uncased,mrpc,320,5,17,0.6838235294117647,2e-05,16,128,,,0.1,True,2.5,109483778,109483778,100.0
full_ft,bert-base-uncased,mrpc,320,5,23,0.6838235294117647,2e-05,16,128,,,0.1,True,2.4,109483778,109483778,100.0
full_ft,bert-base-uncased,mrpc,1280,5,11,0.6862745098039216,2e-05,16,128,,,0.1,True,8.0,109483778,109483778,100.0
full_ft,bert-base-uncased,mrpc,1280,5,17,0.6862745098039216,2e-05,16,128,,,0.1,True,8.6,109483778,109483778,100.0
full_ft,bert-base-uncased,mrpc,1280,5,23,0.6985294117647058,2e-05,16,128,,,0.1,True,8.0,109483778,109483778,100.0
full_ft,bert-base-uncased,mrpc,80,10,11,0.6838235294117647,2e-05,16,128,,,0.1,True,1.1,109483778,109483778,100.0
full_ft,bert-base-uncased,mrpc,80,10,17,0.6838235294117647,2e-05,16,128,,,0.1,True,1.1,109483778,109483778,100.0
full_ft,bert-base-uncased,mrpc,80,10,23,0.6813725490196079,2e-05,16,128,,,0.1,True,1.1,109483778,109483778,100.0
full_ft,bert-base-uncased,mrpc,320,10,11,0.6838235294117647,2e-05,16,128,,,0.1,True,4.5,109483778,109483778,100.0
full_ft,bert-base-uncased,mrpc,320,10,17,0.6838235294117647,2e-05,16,128,,,0.1,True,4.1,109483778,109483778,100.0
full_ft,bert-base-uncased,mrpc,320,10,23,0.6838235294117647,2e-05,16,128,,,0.1,True,4.3,109483778,109483778,100.0
full_ft,bert-base-uncased,mrpc,1280,10,11,0.7303921568627451,2e-05,16,128,,,0.1,True,15.9,109483778,109483778,100.0
full_ft,bert-base-uncased,mrpc,1280,10,17,0.7401960784313726,2e-05,16,128,,,0.1,True,18.9,109483778,109483778,100.0
full_ft,bert-base-uncased,mrpc,1280,10,23,0.75,2e-05,16,128,,,0.1,True,16.7,109483778,109483778,100.0
ia3,bert-base-uncased,mrpc,80,1,11,0.6838235294117647,0.0002,16,128,,,0.1,True,0.2,109512964,29186,0.0267
ia3,bert-base-uncased,mrpc,80,1,17,0.6838235294117647,0.0002,16,128,,,0.1,True,0.2,109512964,29186,0.0267
ia3,bert-base-uncased,mrpc,80,1,23,0.6838235294117647,0.0002,16,128,,,0.1,True,0.2,109512964,29186,0.0267
ia3,bert-base-uncased,mrpc,320,1,11,0.6838235294117647,0.0002,16,128,,,0.1,True,0.6,109512964,29186,0.0267
ia3,bert-base-uncased,mrpc,320,1,17,0.6838235294117647,0.0002,16,128,,,0.1,True,0.6,109512964,29186,0.0267
ia3,bert-base-uncased,mrpc,320,1,23,0.6838235294117647,0.0002,16,128,,,0.1,True,0.6,109512964,29186,0.0267
ia3,bert-base-uncased,mrpc,1280,1,11,0.6838235294117647,0.0002,16,128,,,0.1,True,1.7,109512964,29186,0.0267
ia3,bert-base-uncased,mrpc,1280,1,17,0.6838235294117647,0.0002,16,128,,,0.1,True,1.6,109512964,29186,0.0267
ia3,bert-base-uncased,mrpc,1280,1,23,0.6838235294117647,0.0002,16,128,,,0.1,True,1.6,109512964,29186,0.0267
ia3,bert-base-uncased,mrpc,80,2,11,0.6838235294117647,0.0002,16,128,,,0.1,True,0.3,109512964,29186,0.0267
ia3,bert-base-uncased,mrpc,80,2,17,0.6838235294117647,0.0002,16,128,,,0.1,True,0.3,109512964,29186,0.0267
ia3,bert-base-uncased,mrpc,80,2,23,0.6838235294117647,0.0002,16,128,,,0.1,True,0.3,109512964,29186,0.0267
ia3,bert-base-uncased,mrpc,320,2,11,0.6838235294117647,0.0002,16,128,,,0.1,True,1.0,109512964,29186,0.0267
ia3,bert-base-uncased,mrpc,320,2,17,0.6838235294117647,0.0002,16,128,,,0.1,True,0.9,109512964,29186,0.0267
ia3,bert-base-uncased,mrpc,320,2,23,0.6838235294117647,0.0002,16,128,,,0.1,True,1.1,109512964,29186,0.0267
ia3,bert-base-uncased,mrpc,1280,2,11,0.6838235294117647,0.0002,16,128,,,0.1,True,3.2,109512964,29186,0.0267
ia3,bert-base-uncased,mrpc,1280,2,17,0.6838235294117647,0.0002,16,128,,,0.1,True,3.0,109512964,29186,0.0267
ia3,bert-base-uncased,mrpc,1280,2,23,0.6838235294117647,0.0002,16,128,,,0.1,True,3.0,109512964,29186,0.0267
ia3,bert-base-uncased,mrpc,80,5,11,0.6838235294117647,0.0002,16,128,,,0.1,True,0.6,109512964,29186,0.0267
ia3,bert-base-uncased,mrpc,80,5,17,0.6838235294117647,0.0002,16,128,,,0.1,True,0.6,109512964,29186,0.0267
ia3,bert-base-uncased,mrpc,80,5,23,0.6838235294117647,0.0002,16,128,,,0.1,True,0.6,109512964,29186,0.0267
ia3,bert-base-uncased,mrpc,320,5,11,0.6838235294117647,0.0002,16,128,,,0.1,True,2.4,109512964,29186,0.0267
ia3,bert-base-uncased,mrpc,320,5,17,0.6838235294117647,0.0002,16,128,,,0.1,True,2.1,109512964,29186,0.0267
ia3,bert-base-uncased,mrpc,320,5,23,0.6838235294117647,0.0002,16,128,,,0.1,True,2.0,109512964,29186,0.0267
ia3,bert-base-uncased,mrpc,1280,5,11,0.6838235294117647,0.0002,16,128,,,0.1,True,8.4,109512964,29186,0.0267
ia3,bert-base-uncased,mrpc,1280,5,17,0.6838235294117647,0.0002,16,128,,,0.1,True,8.3,109512964,29186,0.0267
ia3,bert-base-uncased,mrpc,1280,5,23,0.6838235294117647,0.0002,16,128,,,0.1,True,7.4,109512964,29186,0.0267
ia3,bert-base-uncased,mrpc,80,10,11,0.6838235294117647,0.0002,16,128,,,0.1,True,1.0,109512964,29186,0.0267
ia3,bert-base-uncased,mrpc,80,10,17,0.6838235294117647,0.0002,16,128,,,0.1,True,1.0,109512964,29186,0.0267
ia3,bert-base-uncased,mrpc,80,10,23,0.6838235294117647,0.0002,16,128,,,0.1,True,1.0,109512964,29186,0.0267
ia3,bert-base-uncased,mrpc,320,10,11,0.6838235294117647,0.0002,16,128,,,0.1,True,3.8,109512964,29186,0.0267
ia3,bert-base-uncased,mrpc,320,10,17,0.6838235294117647,0.0002,16,128,,,0.1,True,3.7,109512964,29186,0.0267
ia3,bert-base-uncased,mrpc,320,10,23,0.6838235294117647,0.0002,16,128,,,0.1,True,4.1,109512964,29186,0.0267
ia3,bert-base-uncased,mrpc,1280,10,11,0.6838235294117647,0.0002,16,128,,,0.1,True,18.2,109512964,29186,0.0267
ia3,bert-base-uncased,mrpc,1280,10,17,0.6838235294117647,0.0002,16,128,,,0.1,True,15.0,109512964,29186,0.0267
ia3,bert-base-uncased,mrpc,1280,10,23,0.6838235294117647,0.0002,16,128,,,0.1,True,14.3,109512964,29186,0.0267
lora,bert-base-uncased,mrpc,80,1,11,0.6838235294117647,0.0002,16,128,8,16,0.1,True,0.2,109780228,296450,0.27
lora,bert-base-uncased,mrpc,80,1,17,0.6838235294117647,0.0002,16,128,8,16,0.1,True,0.2,109780228,296450,0.27
lora,bert-base-uncased,mrpc,80,1,23,0.6838235294117647,0.0002,16,128,8,16,0.1,True,0.2,109780228,296450,0.27
lora,bert-base-uncased,mrpc,320,1,11,0.6838235294117647,0.0002,16,128,8,16,0.1,True,0.6,109780228,296450,0.27
lora,bert-base-uncased,mrpc,320,1,17,0.6838235294117647,0.0002,16,128,8,16,0.1,True,0.7,109780228,296450,0.27
lora,bert-base-uncased,mrpc,320,1,23,0.6838235294117647,0.0002,16,128,8,16,0.1,True,0.6,109780228,296450,0.27
lora,bert-base-uncased,mrpc,1280,1,11,0.6838235294117647,0.0002,16,128,8,16,0.1,True,1.9,109780228,296450,0.27
lora,bert-base-uncased,mrpc,1280,1,17,0.6838235294117647,0.0002,16,128,8,16,0.1,True,1.8,109780228,296450,0.27
lora,bert-base-uncased,mrpc,1280,1,23,0.6838235294117647,0.0002,16,128,8,16,0.1,True,1.8,109780228,296450,0.27
lora,bert-base-uncased,mrpc,80,2,11,0.6838235294117647,0.0002,16,128,8,16,0.1,True,0.3,109780228,296450,0.27
lora,bert-base-uncased,mrpc,80,2,17,0.6838235294117647,0.0002,16,128,8,16,0.1,True,0.3,109780228,296450,0.27
lora,bert-base-uncased,mrpc,80,2,23,0.6838235294117647,0.0002,16,128,8,16,0.1,True,0.4,109780228,296450,0.27
lora,bert-base-uncased,mrpc,320,2,11,0.6838235294117647,0.0002,16,128,8,16,0.1,True,1.2,109780228,296450,0.27
lora,bert-base-uncased,mrpc,320,2,17,0.6838235294117647,0.0002,16,128,8,16,0.1,True,1.1,109780228,296450,0.27
lora,bert-base-uncased,mrpc,320,2,23,0.6838235294117647,0.0002,16,128,8,16,0.1,True,1.0,109780228,296450,0.27
lora,bert-base-uncased,mrpc,1280,2,11,0.6936274509803921,0.0002,16,128,8,16,0.1,True,3.5,109780228,296450,0.27
lora,bert-base-uncased,mrpc,1280,2,17,0.6887254901960784,0.0002,16,128,8,16,0.1,True,3.4,109780228,296450,0.27
lora,bert-base-uncased,mrpc,1280,2,23,0.7009803921568627,0.0002,16,128,8,16,0.1,True,3.4,109780228,296450,0.27
lora,bert-base-uncased,mrpc,80,5,11,0.6838235294117647,0.0002,16,128,8,16,0.1,True,0.7,109780228,296450,0.27
lora,bert-base-uncased,mrpc,80,5,17,0.6838235294117647,0.0002,16,128,8,16,0.1,True,0.6,109780228,296450,0.27
